,Rank,Movie_Name,IMDB_Rating,Year_of_Release, Movie Name,Year,IMDB Rating,Story,Director,Gross
0,1.The Shawshank Redemption(1994),The Shawshank Redemption,9.2,1994.0,,,,,,
1,2.The Godfather(1972),The Godfather,9.2,1972.0,,,,,,
2,3.The Dark Knight(2008),The Dark Knight,9.0,2008.0,,,,,,
3,4.The Godfather Part II(1974),The Godfather Part II,9.0,1974.0,,,,,,
4,5.12 Angry Men(1957),12 Angry Men,8.9,1957.0,,,,,,
5,6.Schindler's List(1993),Schindler's List,8.9,1993.0,,,,,,
6,7.The Lord of the Rings: The Return of the King(2003),The Lord of the Rings: The Return of the King,8.9,2003.0,,,,,,
7,8.Pulp Fiction(1994),Pulp Fiction,8.9,1994.0,,,,,,
8,9.The Lord of the Rings: The Fellowship of the Ring(2001),The Lord of the Rings: The Fellowship of the Ring,8.8,2001.0,,,,,,
9,10.The Good,"The Good, the Bad and the Ugly",8.8,1966.0,,,,,,
10,11.Forrest Gump(1994),Forrest Gump,8.8,1994.0,,,,,,
11,12.Fight Club(1999),Fight Club,8.7,1999.0,,,,,,
12,13.Inception(2010),Inception,8.7,2010.0,,,,,,
13,14.The Lord of the Rings: The Two Towers(2002),The Lord of the Rings: The Two Towers,8.7,2002.0,,,,,,
14,15.Star Wars: Episode V - The Empire Strikes Back(1980),Star Wars: Episode V - The Empire Strikes Back,8.7,1980.0,,,,,,
15,16.The Matrix(1999),The Matrix,8.7,1999.0,,,,,,
16,17.Goodfellas(1990),Goodfellas,8.7,1990.0,,,,,,
17,18.One Flew Over the Cuckoo's Nest(1975),One Flew Over the Cuckoo's Nest,8.6,1975.0,,,,,,
18,19.Se7en(1995),Se7en,8.6,1995.0,,,,,,
19,20.Seven Samurai(1954),Seven Samurai,8.6,1954.0,,,,,,
20,21.It's a Wonderful Life(1946),It's a Wonderful Life,8.6,1946.0,,,,,,
21,22.The Silence of the Lambs(1991),The Silence of the Lambs,8.6,1991.0,,,,,,
22,23.City of God(2002),City of God,8.6,2002.0,,,,,,
23,24.Saving Private Ryan(1998),Saving Private Ryan,8.6,1998.0,,,,,,
24,25.Life Is Beautiful(1997),Life Is Beautiful,8.6,1997.0,,,,,,
25,26.The Green Mile(1999),The Green Mile,8.6,1999.0,,,,,,
26,27.Interstellar(2014),Interstellar,8.6,2014.0,,,,,,
27,28.Star Wars(1977),Star Wars,8.6,1977.0,,,,,,
28,29.Terminator 2: Judgment Day(1991),Terminator 2: Judgment Day,8.5,1991.0,,,,,,
29,30.Back to the Future(1985),Back to the Future,8.5,1985.0,,,,,,
30,31.Spirited Away(2001),Spirited Away,8.5,2001.0,,,,,,
31,32.Psycho(1960),Psycho,8.5,1960.0,,,,,,
32,33.The Pianist(2002),The Pianist,8.5,2002.0,,,,,,
33,34.Léon: The Professional(1994),Léon: The Professional,8.5,1994.0,,,,,,
34,35.Parasite(2019),Parasite,8.5,2019.0,,,,,,
35,36.The Lion King(1994),The Lion King,8.5,1994.0,,,,,,
36,37.Gladiator(2000),Gladiator,8.5,2000.0,,,,,,
37,38.American History X(1998),American History X,8.5,1998.0,,,,,,
38,39.The Usual Suspects(1995),The Usual Suspects,8.5,1995.0,,,,,,
39,40.The Departed(2006),The Departed,8.5,2006.0,,,,,,
40,41.The Prestige(2006),The Prestige,8.5,2006.0,,,,,,
41,42.Casablanca(1942),Casablanca,8.5,1942.0,,,,,,
42,43.Whiplash(2014),Whiplash,8.5,2014.0,,,,,,
43,44.The Intouchables(2011),The Intouchables,8.5,2011.0,,,,,,
44,45.Harakiri(1962),Harakiri,8.5,1962.0,,,,,,
45,46.Modern Times(1936),Modern Times,8.4,1936.0,,,,,,
46,47.Grave of the Fireflies(1988),Grave of the Fireflies,8.4,1988.0,,,,,,
47,48.Once Upon a Time in the West(1968),Once Upon a Time in the West,8.4,1968.0,,,,,,
48,49.Top Gun: Maverick(2022),Top Gun: Maverick,8.4,2022.0,,,,,,
49,50.Rear Window(1954),Rear Window,8.4,1954.0,,,,,,
50,51.Alien(1979),Alien,8.4,1979.0,,,,,,
51,52.City Lights(1931),City Lights,8.4,1931.0,,,,,,
52,53.Cinema Paradiso(1988),Cinema Paradiso,8.4,1988.0,,,,,,
53,54.Memento(2000),Memento,8.4,2000.0,,,,,,
54,55.Apocalypse Now(1979),Apocalypse Now,8.4,1979.0,,,,,,
55,56.Indiana Jones and the Raiders of the Lost Ark(1981),Indiana Jones and the Raiders of the Lost Ark,8.4,1981.0,,,,,,
56,57.Django Unchained(2012),Django Unchained,8.4,2012.0,,,,,,
57,58.WALL·E(2008),WALL·E,8.4,2008.0,,,,,,
58,59.The Lives of Others(2006),The Lives of Others,8.4,2006.0,,,,,,
59,60.Sunset Blvd.(1950),Sunset Blvd.,8.4,1950.0,,,,,,
60,61.Paths of Glory(1957),Paths of Glory,8.4,1957.0,,,,,,
61,62.The Shining(1980),The Shining,8.4,1980.0,,,,,,
62,63.The Great Dictator(1940),The Great Dictator,8.4,1940.0,,,,,,
63,64.Witness for the Prosecution(1957),Witness for the Prosecution,8.4,1957.0,,,,,,
64,65.Avengers: Infinity War(2018),Avengers: Infinity War,8.4,2018.0,,,,,,
65,66.Aliens(1986),Aliens,8.3,1986.0,,,,,,
66,67.American Beauty(1999),American Beauty,8.3,1999.0,,,,,,
67,68.Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb(1964),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,1964.0,,,,,,
68,69.Spider-Man: Into the Spider-Verse(2018),Spider-Man: Into the Spider-Verse,8.3,2018.0,,,,,,
69,70.The Dark Knight Rises(2012),The Dark Knight Rises,8.3,2012.0,,,,,,
70,71.Oldboy(2003),Oldboy,8.3,2003.0,,,,,,
71,72.Joker(2019),Joker,8.3,2019.0,,,,,,
72,73.Amadeus(1984),Amadeus,8.3,1984.0,,,,,,
73,74.Braveheart(1995),Braveheart,8.3,1995.0,,,,,,
74,75.Toy Story(1995),Toy Story,8.3,1995.0,,,,,,
75,76.Coco(2017),Coco,8.3,2017.0,,,,,,
76,77.The Boat(1981),The Boat,8.3,1981.0,,,,,,
77,78.Inglourious Basterds(2009),Inglourious Basterds,8.3,2009.0,,,,,,
78,79.Princess Mononoke(1997),Princess Mononoke,8.3,1997.0,,,,,,
79,80.Avengers: Endgame(2019),Avengers: Endgame,8.3,2019.0,,,,,,
80,81.Once Upon a Time in America(1984),Once Upon a Time in America,8.3,1984.0,,,,,,
81,82.Good Will Hunting(1997),Good Will Hunting,8.3,1997.0,,,,,,
82,83.Your Name.(2016),Your Name.,8.3,2016.0,,,,,,
83,84.Toy Story 3(2010),Toy Story 3,8.3,2010.0,,,,,,
84,85.Requiem for a Dream(2000),Requiem for a Dream,8.3,2000.0,,,,,,
85,86.Singin' in the Rain(1952),Singin' in the Rain,8.3,1952.0,,,,,,
86,87.3 Idiots(2009),3 Idiots,8.3,2009.0,,,,,,
87,88.Star Wars: Episode VI - Return of the Jedi(1983),Star Wars: Episode VI - Return of the Jedi,8.3,1983.0,,,,,,
88,89.High and Low(1963),High and Low,8.3,1963.0,,,,,,
89,90.2001: A Space Odyssey(1968),2001: A Space Odyssey,8.3,1968.0,,,,,,
90,91.Eternal Sunshine of the Spotless Mind(2004),Eternal Sunshine of the Spotless Mind,8.3,2004.0,,,,,,
91,92.Reservoir Dogs(1992),Reservoir Dogs,8.3,1992.0,,,,,,
92,93.Capernaum(2018),Capernaum,8.3,2018.0,,,,,,
93,94.Citizen Kane(1941),Citizen Kane,8.3,1941.0,,,,,,
94,95.Lawrence of Arabia(1962),Lawrence of Arabia,8.3,1962.0,,,,,,
95,96.The Hunt(2012),The Hunt,8.3,2012.0,,,,,,
96,97.M(1931),M,8.3,1931.0,,,,,,
97,98.North by Northwest(1959),North by Northwest,8.3,1959.0,,,,,,
98,99.Vertigo(1958),Vertigo,8.2,1958.0,,,,,,
99,100.Come and See(1985),Come and See,8.2,1985.0,,,,,,
100,101.Amélie(2001),Amélie,8.2,2001.0,,,,,,
101,102.A Clockwork Orange(1971),A Clockwork Orange,8.2,1971.0,,,,,,
102,103.Full Metal Jacket(1987),Full Metal Jacket,8.2,1987.0,,,,,,
103,104.Double Indemnity(1944),Double Indemnity,8.2,1944.0,,,,,,
104,105.The Apartment(1960),The Apartment,8.2,1960.0,,,,,,
105,106.Scarface(1983),Scarface,8.2,1983.0,,,,,,
106,107.Ikiru(1952),Ikiru,8.2,1952.0,,,,,,
107,108.The Sting(1973),The Sting,8.2,1973.0,,,,,,
